tactic_id,impression_pixel_json
333304,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N7676.791086DOUBLECLICKTECH.COM\/B9352239.127304136;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""https:\/\/secure-gl.imrworldwide.com\/cgi-bin\/m?ci=nlsnci304&am=3&at=view&rt=banner&st=image&ca=nlsn32514&cr=crtve&pc=dcbm_plc0001&ce=dcbm&r=[timestamp]""]"
337773,"[""https:\/\/ad.doubleclick.net\/ddm\/trackimp\/N2724.1852769TRIPLELIFT.COM\/B9457112.128485014;dc_trk_aid=301461699;dc_trk_cid=66292004;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http:\/\/tags.bluekai.com\/site\/32051?limit=1""]"
333514,[]
334448,[]
336385,"[""https:\/\/ad.atdmt.com\/i\/img;p=11142202536676;a=11142202567402;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=""]"
332928,NULL
328277,"[""https:\/\/voken.eyereturn.com\/pix?1132530""]"
339051,"[""https:\/\/t.mookie1.com\/t\/v1\/imp?migAgencyId=616&migSource=adsrv2&migRandom=[timestamp]&migTrackDataExt=3523435;130409495;303707848;0&migTrackFmtExt=client;io;ad;crtv&migUnencodedDest=https:\/\/ad.doubleclick.net\/ddm\/ad\/N4406.1308838.XAXIS.COM\/B9574157.130409495;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
331610,[]
315035,"[""http:\/\/ad.doubleclick.net\/ddm\/jump\/N5853.284566.THETRADEDESK\/B8045962.117164042;sz=1x1;ord=[timestamp]?""]"
331072,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=17267682&PluID=0&ord=[timestamp]&rtu=-1""]"
329256,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=16283756&PluID=0&ord=[timestamp]&rtu=-1"",""http:\/\/tags.bluekai.com\/site\/29697?limit=1""]"
324588,"[""http:\/\/secure.insightexpressai.com\/adServer\/adServerESI.aspx?bannerID=474102&script=false&rnd=[INSERT_CACHEBUSTER_HERE]&redir=\/\/secure.insightexpressai.com\/adserver\/1pixel.gif"",""http:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=14074616&PluID=0&ord=[timestamp]&rtu=-1""]"
336827,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N9407.127315CENTRO\/B9321756.128822799;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
334313,"[""https:\/\/gap.sp1.convertro.com\/view\/vt\/v1\/gap\/1\/cvo.gif?cvosrc=display.akqa.68543819&cvo_cid=9398102&cvo_pid=128302847&cvo_adid=300956079&cvo_crid=68543819"",""https:\/\/ad.doubleclick.net\/ddm\/ad\/N2949.1264338.TRIPLELIFTINC\/B9398102.128302847;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http:\/\/tags.bluekai.com\/site\/31509?limit=1""]"
328444,NULL
333190,"[""http:\/\/ads.pointroll.com\/PortalServe\/?pid=2772935L12820160114175520&pos=i&r=[RANDOM]""]"
330951,NULL
334445,[]
339389,[]
337527,"[""https:\/\/ad.doubleclick.net\/ddm\/trackimp\/N6036.1264338TRIPLELIFTINC\/B9331301.129111521;dc_trk_aid=302394987;dc_trk_cid=69390039;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http:\/\/tags.bluekai.com\/site\/33374?limit=1""]"
334386,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=16422398&PluID=0&ord=[timestamp]&rtu=-1"",""https:\/\/magnetic.domdex.com\/ahtm?mp=2&n=10804&c=105252&b=116445&sz=88x31&s=${REFERER_URL_ENC}&id=${AUCTION_ID}&a=${PRICE_PAID}""]"
338005,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=17101888&PluID=0&ord=[timestamp]&rtu=-1"",""https:\/\/lciapi.ninthdecimal.com\/v1\/lci\/imp\/adv-xax\/c-20673?typ=mWeb&chn=anexus&brand=hannaford&did=${DEVICE_AAID}_${DEVICE_APPLE_IDA}&lat=${GEO_LAT}&lon=${GEO_LON}&crtv=md&ad=d&pub=trpl"",""https:\/\/secure.insightexpressai.com\/adServer\/adServerESI.aspx?bannerID=873194&script=false&rnd=${CACHEBUSTER}&redir=https:\/\/secure.insightexpressai.com\/adserver\/1pixel.gif""]"
325001,"[""http:\/\/pixel.adsafeprotected.com\/rjss\/st\/28458\/5303771\/skeleton.js"",""http:\/\/adfarm.mediaplex.com\/ad\/tr\/10445-61388-44771-308?mpt=[CACHEBUSTER]"",""http:\/\/h.nexac.com\/e\/a-1433\/s-2834\/c-469\/g-3544.xgi?pkey=bijo15bijox40&chpcm=siteserved&chpsg=dp&chpcr=&chpck=&rand=RANDOM&chpth=10445-61388-44771-308""]"
329247,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=15305141&PluID=0&ord=[timestamp]&rtu=-1"",""http:\/\/tags.bluekai.com\/site\/29697?limit=1""]"
334926,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N3577.2100704VIVAKI-TRIPLELIFT\/B9428917.128765132;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http:\/\/tags.bluekai.com\/site\/31751?limit=1""]"
329247,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=15305126&PluID=0&ord=[timestamp]&rtu=-1"",""http:\/\/tags.bluekai.com\/site\/29697?limit=1""]"
314925,"[""https:\/\/ohlone.vizu.com\/a.gif?vzcid=19761&vzadid=triplelift&vzsid=accuen&ord=[RANDOM]"",""https:\/\/ad.doubleclick.net\/ad\/N1823.288332.ACCUEN\/B8463186.115960466;sz=1x1;ord=[timestamp]?""]"
324514,[]
331060,[]
338935,"[""https:\/\/ad.doubleclick.net\/ddm\/trackimp\/N2724.1264338TRIPLELIFTINC\/B9289660.126448591;dc_trk_aid=299592702;dc_trk_cid=67479092;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
334091,"[""https:\/\/ad.doubleclick.net\/ddm\/trackimp\/N4268.456584.XAXIS.COM\/B9372109.127404254;dc_trk_aid=300537790;dc_trk_cid=68293971;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?\"" BORDER=\""0\"" HEIGHT=\""1\"" WIDTH=\""1\""""]"
334059,[]
336957,NULL
331204,[]
329157,[]
338258,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N3577.2100704VIVAKI-TRIPLELIFT\/B9428917.130836202;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http:\/\/tags.bluekai.com\/site\/31751?limit=1""]"
325185,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=14244397&PluID=0&ord=[timestamp]&rtu=-1""]"
327632,"[""https:\/\/api.choicestream.com\/instr\/crunch\/apnxs\/imp?au=${AUCTION_ID}&cr=${CREATIVE_ID}&li=${CPG_ID}&cp=${CP_ID}&uid=${USER_ID}&ecp=${ECP}&rp=${RESERVE_PRICE}&bid1=${BID_PRICE}&pr=${PRICE_PAID}&invs=${INV_SOURCE_ID}&pi=${TAG_ID}&vid=${VENUE_ID}&sid=${SELLER_MEMBER_ID}&ip=${USER_IP}&pc=${POSTAL_CODE}&dc=${DATACENTER}&city=${USER_CITY}&st=${USER_STATE}&ref=${REFERER_URL_ENC}&r=${CACHEBUSTER}""]"
322538,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N9317.152304.TRADINGDESK\/B8689082.117982957;sz=1x1;ord=[timestamp]?""]"
334635,"[""https:\/\/ad.doubleclick.net\/ddm\/trackimp\/N4694.IPN346\/B7979853.128634695;dc_trk_aid=301577740;dc_trk_cid=68916718;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
327151,[]
329247,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=15305133&PluID=0&ord=[timestamp]&rtu=-1"",""http:\/\/tags.bluekai.com\/site\/29697?limit=1""]"
323994,"[""http:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=13329405&PluID=0&ord=[timestamp]&rtu=-1""]"
336910,"[""https:\/\/ad.atdmt.com\/i\/img;p=11142202565631;a=11142203245028;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=""]"
337891,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N6049.1355588.DOUBLECLICK.COMBID\/B9607545.130418178;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
334070,NULL
331168,"[""https:\/\/bs.serving-sys.com\/BurstingPipe\/adServer.bs?cn=tf&c=19&mc=imp&pli=16042644&PluID=0&ord=[timestamp]&rtu=-1"",""http:\/\/tags.bluekai.com\/site\/29737?limit=1""]"
335374,"[""https:\/\/ad.atdmt.com\/i\/img;p=11142202565631;a=11142202567430;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=""]"
330565,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N8084.275383THEEXCHANGELAB\/B9150230.124212633;sz=1x1;ord=${CACHEBUSTER}""]"
337316,[]
327241,"[""https:\/\/ad.doubleclick.net\/ddm\/trackimp\/N30602.284566THETRADEDESK4\/B9069372.122695792;dc_trk_aid=296344980;dc_trk_cid=65835138;ord=[timestamp]?""]"
327430,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N7607.288332.ACCUEN\/B8434063.119795762;sz=1x1;ord=[timestamp]?""]"
324629,[]
337863,"[""https:\/\/ad.doubleclick.net\/ddm\/ad\/N6049.1355588.DOUBLECLICK.COMBID\/B9607545.130418725;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?""]"
327731,[]
336421,"[""https:\/\/servedby.flashtalking.com\/imp\/4\/59564;1743167;201;pixel;ClearTrade;ClearTradeEngageNativeIMNonGoldRewardsSpringMustGetBlog1x1\/?cachebuster=[CACHEBUSTER]""]"
339244,[]
